Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Black Panther,WaltDisney,Walt Disney,"$700,059,566 ","$202,003,951 ","4,084"
2,Avengers: Infinity War,WaltDisney,Walt Disney,"$678,815,482 ","$257,698,183 ","4,474"
3,Incredibles 2,WaltDisney,Walt Disney,"$608,581,744 ","$182,687,905 ","4,413"
4,Jurassic World: Fallen Kingdom,Universal,Universal Studio,"$417,719,760 ","$148,024,610 ","4,485"
5,Aquaman,WarnerBros.,Warner Bros.,"$335,061,807 ","$67,873,522 ","4,184"
6,Deadpool 2,20thCent…,20th Century,"$324,591,735 ","$125,507,153 ","4,349"
7,Dr. Seuss' The Grinch,Universal,Universal Studio,"$270,834,950 ","$67,572,855 ","4,141"
8,Mission: Impossible—Fallout,Paramount…,Paramount Pictures,"$220,159,104 ","$61,236,534 ","4,395"
9,Ant-Man and the Wasp,WaltDisney,Walt Disney,"$216,648,740 ","$75,812,205 ","4,206"
10,Bohemian Rhapsody,20thCent…,20th Century,"$216,303,339 ","$51,061,119 ","4,000"
11,A Star is Born,WarnerBros.,Warner Bros.,"$215,288,866 ","$42,908,051 ","3,904"
12,Solo: A Star Wars Story,WaltDisney,Walt Disney,"$213,767,512 ","$84,420,489 ","4,381"
13,Venom,SonyPict…,Sony Pictures,"$213,511,408 ","$80,255,756 ","4,250"
14,Ralph Breaks The Internet,WaltDisney,Walt Disney,"$201,091,711 ","$56,237,634 ","4,017"
15,Spider-Man: Into The Spider-Verse 3D,SonyPict…,Sony Pictures,"$190,173,195 ","$35,363,376 ","3,813"
16,A Quiet Place,Paramount…,Paramount Pictures,"$188,024,361 ","$50,203,562 ","3,808"
17,Crazy Rich Asians,WarnerBros.,Warner Bros.,"$174,532,921 ","$26,510,140 ","3,865"
18,Mary Poppins Returns,WaltDisney,Walt Disney,"$171,958,438 ","$23,523,121 ","4,090"
19,Hotel Transylvania 3: Summer Vacation,SonyPict…,Sony Pictures,"$167,500,092 ","$44,076,225 ","4,267"
