,Id,Movie,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
0,1,"['Bad Boys For Life', 'Sony Pict…']","$204,417,855","$62,504,105","3,775"
1,2,"['Sonic The Hedgehog', 'Paramount…']","$146,066,470","$58,018,348","4,198"
2,3,"['Birds of Prey (And the Fantabulous Emancipation…', 'Warner Bros.']","$84,158,461","$33,010,017","4,236"
3,4,"['Dolittle', 'Universal']","$77,047,065","$21,844,045","4,155"
4,5,"['The Invisible Man', 'Universal']","$64,914,050","$28,205,665","3,636"
5,6,"['The Call of the Wild', '20th Cent…']","$62,342,368","$24,791,624","3,914"
6,7,"['Onward', 'Walt Disney']","$61,555,145","$39,119,861","4,310"
7,8,"['The Croods: A New Age', 'Universal']","$58,568,815","$9,724,200","2,211"
8,9,"['Tenet', 'Warner Bros.']","$58,504,105","$20,001,852","2,930"
9,10,"['Wonder Woman 1984', 'Warner Bros.']","$46,801,036","$16,701,957","2,218"
10,11,"['The Gentlemen', 'STX Enter…']","$36,471,796","$10,651,884","2,675"
11,12,"['Fantasy Island', 'Sony Pict…']","$26,441,782","$12,310,420","2,784"
12,13,"['The New Mutants', '20th Cent…']","$23,855,569","$7,037,017","2,754"
13,14,"['Like a Boss', 'Paramount…']","$22,169,514","$10,011,272","3,081"
14,15,"['The War with Grandpa', '101 Studios']","$21,277,892","$3,623,880","2,365"
15,16,"['The Grudge', 'Sony Pict…']","$21,216,148","$11,404,113","2,642"
16,17,"['Unhinged', '']","$20,831,465","$601,032","2,402"
17,18,"['The Photograph', 'Universal']","$20,578,185","$12,181,865","2,516"
18,19,"['Underwater', '20th Cent…']","$17,291,078","$7,008,297","2,791"
19,20,"['The Turning', 'Universal']","$15,472,775","$6,950,045","2,571"
20,21,"['Gretel & Hansel', 'United Ar…']","$15,347,654","$6,154,007","3,007"
21,22,"['Monster Hunter', 'Sony Pict…']","$15,162,470","$2,201,269","1,817"
22,23,"['Honest Thief', '']","$14,163,574",,"2,502"
23,24,"['The Way Back', 'Warner Bros.']","$13,590,514","$8,170,315","2,718"
24,25,"['Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…', 'FUNimation']","$13,553,826","$5,891,252","1,275"
25,26,"['News of the World', 'Universal']","$12,668,325","$2,250,430","1,986"
